rank,orgnr,company_name,total_score,base_similarity_score,layer1_product_signal,comp_revenue,comp_growth,comp_margins,comp_scale_efficiency,comp_legacy_scores,matched_model,distance_value,feature_count_used,exclusion_flags,service_indicator,applied_penalty,penalty_flags,latest_revenue_sek,revenue_cagr_3y,avg_ebitda_margin
1,5567405443,Ledson Lights AB,102.15612328623449,98.22704162137931,True,99.94810796858718,99.73240788134127,99.72939512143802,99.67305869155513,,global,0.007155454243746766,7,,0.0,0.0,,93160000.0,0.10488615902464193,0.09955907405551659
2,5590764949,Scandia Pumps AB,98.31235738540178,94.53111287057864,True,99.06948079922795,98.79196328015641,99.88020462671977,98.46699332297217,,global,0.02249646757968482,7,,0.0,0.0,,85910000.0,0.05837719115433537,0.1002176275869582
3,5565862058,Älmhults Gjuteri AB,97.37462624933379,93.6294483166671,True,99.42880895950763,95.94446838675356,99.73266064573171,99.46921641935813,,global,0.026330093287536126,7,,0.0,0.0,,87911000.0,0.03161401158496058,0.10161319629918182
4,5566813761,Xperta AB,96.57224563182115,96.57224563182115,False,99.34448089683822,99.14615054227909,99.87430210813079,99.20847795175789,,global,0.01395151934067743,7,,0.0,0.0,,87391000.0,0.06344200448742066,0.08869752044592909
5,5566413711,RK Natursten AB,96.38946720771851,96.38946720771851,False,99.75397089884112,98.74035765522848,99.55251355256048,99.5927007503656,,global,0.014709300668706505,7,,0.0,0.0,,90458000.0,0.12234780291387803,0.08354119401862599
6,5569153603,KE Therm AB,93.59417324800786,89.99439735385371,True,96.80924043109997,99.95516455904308,99.45197531345703,97.27490796389526,,global,0.04216910768775464,7,,0.0,0.0,,78405000.0,0.09610528215191327,0.08748042927495801
7,5562128164,Industriaktiebolaget Korp & Son,93.4641842719578,89.86940795380558,True,98.94368405647903,95.31441593445417,99.8579945888611,97.82942148465406,,global,0.042725036858511596,7,,0.0,0.0,,85313000.0,0.027137688757325584,0.10661222779525065
8,5560903493,Lecora AB,93.21220508136308,93.21220508136308,False,96.07674738659196,99.35321207172973,99.23559866303567,99.96589912954167,,global,0.028116606824756987,7,,0.0,0.0,,118938000.0,0.11315100245345366,0.10066107302417948
9,5569261166,Steamery AB,93.16882551106387,93.16882551106387,False,93.80003946396741,99.82965838292613,99.89264937469808,99.90896615375951,,global,0.028302804190206168,7,,0.0,0.0,,126044000.0,0.1018793433272398,0.09759586446199058
10,5563327351,Smålands Stålgjuteri i Eksjö Aktiebolag,93.01025567173498,89.43293814589902,True,94.50513854504486,98.70385292211202,99.50617511671953,98.65606142717445,,global,0.04467245441116449,7,,0.0,0.0,,73603000.0,0.12281583036068833,0.11899311315378076
11,5569768640,Sylog Väst AB,92.53931470267389,92.53931470267389,False,96.96581627368607,99.58446418819207,99.08757541813856,99.25408887809283,,global,0.031014643181622833,7,,0.0,0.0,,115783000.0,0.10855075748870524,0.07456174731726235
12,5565751061,Creon promotion AB,92.48668010219122,92.48668010219122,False,99.77893724300174,,99.85069624794085,97.04585091130829,,global,0.031242220293511303,6,,0.0,0.0,,100571000.0,,0.09263058682896272
