orgnr,exclusion_flags
5560007105,LAYER1_OPERATING:fastighet
5560010950,REVENUE_BELOW_MIN
5560015272,REVENUE_BELOW_MIN
5560037482,REVENUE_BELOW_MIN
5560055419,NO_REVENUE
5560062563,NO_REVENUE
5560075011,GLOBAL_SHELL_SUFFIX:sverige ab
5560082561,LAYER1_OPERATING:finans;NO_REVENUE
5560089392,NO_REVENUE
5560098526,NO_REVENUE
5560099342,NAME_EXCLUDED:hotel
5560105214,NAME_EXCLUDED:hotel
5560107160,REVENUE_BELOW_MIN
5560108945,REVENUE_BELOW_MIN
5560126012,LAYER1_OPERATING:förvaltning
5560138256,GLOBAL_SHELL_SUFFIX:scandinavia ab
5560156522,NO_REVENUE
5560182114,NO_REVENUE
5560182171,LAYER1_OPERATING:fastighet
5560187113,NO_REVENUE
5560194358,LAYER1_OPERATING:fastighet
5560196429,REVENUE_BELOW_MIN
5560215286,NO_REVENUE
5560224700,LAYER1_SERVICE:bygg
5560234691,LAYER1_OPERATING:fastighet
5560437948,LAYER1_SERVICE:rör
5560241977,GLOBAL_SHELL_SUFFIX:sweden ab
5560271040,LAYER1_OPERATING:förvaltning;REVENUE_BELOW_MIN
5560275637,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5560276163,NO_REVENUE
5560282591,NO_REVENUE
5560283904,LAYER1_OPERATING:fastighet
5560285156,LAYER1_OPERATING:fastighet
5560290602,LAYER1_OPERATING:fastighet
5560436106,NO_REVENUE
5565322285,NO_REVENUE
5560300005,NO_REVENUE
5560308412,LAYER1_OPERATING:fastighet
5560316217,LAYER1_SERVICE:entreprenad
5560318791,REVENUE_BELOW_MIN
5560320011,NO_REVENUE
5560325127,LAYER1_OPERATING:fastighet
5560328527,NO_REVENUE
5560337452,LAYER1_SERVICE:service
5560338294,NAME_EXCLUDED:hotel
5560341140,LAYER1_OPERATING:fastighet
5560341769,GLOBAL_SHELL_SUFFIX:sweden ab;NO_REVENUE
5560345208,NAME_EXCLUDED:hotel
5565861415,GLOBAL_SHELL_SUFFIX:sweden ab
5560360504,NO_REVENUE
5560362674,LAYER1_SERVICE:bygg
5560367061,NO_REVENUE
5560378746,NO_REVENUE
5560379785,NO_REVENUE
5560384090,NO_REVENUE
5560394032,LAYER1_SERVICE:installation
5560400458,LAYER1_SERVICE:bygg
5560403189,LAYER1_OPERATING:fastighet
5560404971,LAYER1_OPERATING:fastighet
5560428517,GLOBAL_SHELL_SUFFIX:sverige ab
5560408113,REVENUE_BELOW_MIN
5560412149,REVENUE_BELOW_MIN
5560416579,NAME_EXCLUDED:hotel
5560418468,NO_REVENUE
5560419326,NO_REVENUE
5560421587,LAYER1_OPERATING:fastighet;NO_REVENUE
5560426289,NO_REVENUE
5560432527,NO_REVENUE
5560436007,NO_REVENUE
5560436064,GLOBAL_SHELL_SUFFIX:sweden ab;REVENUE_BELOW_MIN
5560441247,NO_REVENUE
5560442377,LAYER1_OPERATING:fastighet
5560442823,LAYER1_SERVICE:montage
5560443557,GLOBAL_SHELL_SUFFIX:sverige ab
5560453614,NO_REVENUE
5560460684,NO_REVENUE
5560464918,LAYER1_OPERATING:fastighet
5560466582,LAYER1_OPERATING:fastighet
5560471061,LAYER1_SERVICE:bygg;NO_REVENUE
5560472978,NO_REVENUE
5560474255,GLOBAL_SHELL_SUFFIX:sverige ab
5560475617,REVENUE_BELOW_MIN
5560475880,NAME_EXCLUDED:hotel
5560477225,NO_REVENUE
5560494949,LAYER1_OPERATING:fastighet;REVENUE_BELOW_MIN
5560495821,NO_REVENUE
5560496464,LAYER1_OPERATING:fastighet
5560500042,LAYER1_SERVICE:el
5560500380,LAYER1_OPERATING:fastighet
5560501313,NO_REVENUE
5560507625,LAYER1_SERVICE:bygg
5560512468,LAYER1_OPERATING:fastighet
5560514241,NO_REVENUE
5560514548,NO_REVENUE
5560515685,LAYER1_OPERATING:förvaltning
5560516428,LAYER1_OPERATING:förvaltning
5560519240,NO_REVENUE
5560519257,NO_REVENUE
5560519562,REVENUE_BELOW_MIN
5560520438,LAYER1_OPERATING:fastighet
5560523507,LAYER1_OPERATING:fastighet;NO_REVENUE
5560524273,GLOBAL_SHELL_SUFFIX:sweden ab
5560525171,GLOBAL_SHELL_SUFFIX:sverige ab
5560525833,GLOBAL_SHELL_SUFFIX:sverige ab
